   1  0.000000  0.100000  0.200000  0.300000  0.400000  0.500000  0.600000  0.700000  0.800000  0.900000
   2  0.100000  0.000000  0.100000  0.200000  0.300000  0.400000  0.500000  0.600000  0.700000  0.800000
   3  0.200000  0.100000  0.000000  0.100000  0.200000  0.300000  0.400000  0.500000  0.600000  0.700000
   4  0.300000  0.200000  0.100000  0.000000  0.100000  0.200000  0.300000  0.400000  0.500000  0.600000
   5  0.400000  0.300000  0.200000  0.100000  0.000000  0.100000  0.200000  0.300000  0.400000  0.500000
   6  0.500000  0.400000  0.300000  0.200000  0.100000  0.000000  0.100000  0.200000  0.300000  0.400000
   7  0.600000  0.500000  0.400000  0.300000  0.200000  0.100000  0.000000  0.100000  0.200000  0.300000
   8  0.700000  0.600000  0.500000  0.400000  0.300000  0.200000  0.100000  0.000000  0.100000  0.200000
   9  0.800000  0.700000  0.600000  0.500000  0.400000  0.300000  0.200000  0.100000  0.000000  0.100000
  10  0.900000  0.800000  0.700000  0.600000  0.500000  0.400000  0.300000  0.200000  0.100000  0.000000
